"Reference","Value","Footprint","Qty","Manufacturer_Part_Number","Datasheet","DNP","Exclude from BOM","Exclude from Board"
"C1,C2,C3,C4,C5,C6,C7,C11,C12,C13,C14,C15,C16,C17","100nf","Capacitor_SMD:C_1210_3225Metric","14","ECH-U1C104JX5 ","~","","",""
"C8","4nf7","Capacitor_SMD:C_0805_2012Metric","1","ECH-U1C472GX5","~","","",""
"C9","470p","Capacitor_SMD:C_0805_2012Metric","1","ECH-U1H471GX5 ","~","","",""
"C10","68nf","Capacitor_SMD:C_1210_3225Metric","1","ECH-U1C683GX5","~","","",""
"C18","30pf","Capacitor_SMD:C_0603_1608Metric","1","GCM1885C2A300GA16D","~","","",""
"C19,C20,C21,C22,C23,C24,C25,C40,C41,C44,C45,C46,C47,C48,C49,C50,C51,C52,C63,C64,C66","0.1uf","Capacitor_SMD:C_0805_2012Metric","21","GRMJN65C1H104JE01J ","~","","",""
"C26,C27,C28,C29,C30,C31,C42,C43,C65,C67","100uf","Capacitor_SMD:CP_Elec_6.3x5.8","10","EEE-FT1V101AL ","~","","",""
"C34,C38","2.2nf","Capacitor_SMD:C_0805_2012Metric","2","ECH-U1H222GX5","~","","",""
"C35,C39","100pf","Capacitor_SMD:C_0805_2012Metric","2","ECH-U1H101GX5","~","","",""
"C53,C54,C55,C56,C57,C58,C59,C60,C61,C62","22uf","Capacitor_SMD:C_1210_3225Metric","10","CL32B226KAJNNNE","~","","",""
"D1,D2,D3","led","LED_SMD:LED_0805_2012Metric","3","","~","","",""
"H1,H2,H3,H4","~","MountingHole:MountingHole_3.2mm_M3","4","","~","","Excluded from BOM",""
"HS1,HS2","Heatsink","","2","580100B00000G","~","","","Excluded from board"
"IC1","DIR9001","Samacsys:SOP65P640X120-28N","1","DIR9001PWR","http://www.ti.com/lit/gpn/DIR9001","","",""
"IC2,IC3","AD811ANZ","Samacsys:DIP794W56P254L959H533Q8N","2","AD811ANZ","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA2/239564.pdf","","",""
"J1","FCR684205R","Snapeda:CONN3_FCR684205R_CLF","1","","FCR684205R","","Excluded from BOM",""
"J2","5v","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","1","","~","","Excluded from BOM",""
"J3","-8v","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","1","","~","","Excluded from BOM",""
"J4","8v","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","1","","~","","Excluded from BOM",""
"J5,J10,J14,J15","15v","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","4","","~","","Excluded from BOM",""
"J6,J11","-15v","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","2","","~","","Excluded from BOM",""
"J7","-18v","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","1","","~","","Excluded from BOM",""
"J8,J9","out","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","2","","~","","Excluded from BOM",""
"Q1,Q2","J113","Package_TO_SOT_SMD:SOT-23","2","MMBFJ113 ","https://www.onsemi.com/pub/Collateral/MMBFJ113-D.PDF","","",""
"R1,R2,R3","1.5k","Resistor_SMD:R_0805_2012Metric","3","RG2012P-152-B-T5","~","","",""
"R4","680r","Resistor_SMD:R_0805_2012Metric","1","RG2012P-681-B-T5","~","","",""
"R5,R11","100r","Resistor_SMD:R_0805_2012Metric","2","RG2012P-101-B-T5","~","","",""
"R7,R13","1.8k","Resistor_SMD:R_0805_2012Metric","2","RG2012P-182-B-T5","~","","",""
"R8,R14","1k","Resistor_SMD:R_0805_2012Metric","2","RG2012P-102-B-T5","~","","",""
"R9,R15","10r","Resistor_SMD:R_0805_2012Metric","2","RG2012Q-100-D-T5","~","","",""
"R10,R16","49k9","Resistor_SMD:R_0805_2012Metric","2","RG2012P-4992-B-T5","~","","",""
"R17","10k","Resistor_SMD:R_0805_2012Metric","1","RG2012P-103-B-T5","~","","",""
"RV1,RV2","2k","Potentiometer_THT:Potentiometer_Bourns_3386C_Horizontal","2","PV36W202C01B00","~","","",""
"S2","reset","Samacsys:TS046655BK100SMT","1","TS04-66-55-BK-100-SMT","https://www.sameskydevices.com/product/resource/ts04.pdf","","",""
"U1","TDA1541A","Package_DIP:DIP-28_W15.24mm","1","","","","Excluded from BOM",""
"U2,U8,U10,U11","12v","voltage_regulator:lt304549","4","","","","Excluded from BOM",""
"U3","3.3v","voltage_regulator:lt304549","1","","","","Excluded from BOM",""
"U4","5v","voltage_regulator:lt304549","1","","","","Excluded from BOM",""
"U5","-5v","voltage_regulator:lt304549","1","","","","Excluded from BOM",""
"U6,U9","-12v","voltage_regulator:lt304549","2","","","","Excluded from BOM",""
"U7","-15v","voltage_regulator:lt304549","1","","","","Excluded from BOM",""
"J12,J13","dc set","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2","","~","DNP","",""
